#,Country (or dependency),Population (2023)
1,India,"1,428,627,663"
2,China,"1,425,671,352"
3,United States,"339,996,563"
4,Indonesia,"277,534,122"
5,Pakistan,"240,485,658"
6,Nigeria,"223,804,632"
7,Brazil,"216,422,446"
8,Bangladesh,"172,954,319"
9,Russia,"144,444,359"
10,Mexico,"128,455,567"
11,Ethiopia,"126,527,060"
12,Japan,"123,294,513"
13,Philippines,"117,337,368"
14,Egypt,"112,716,598"
15,DR Congo,"102,262,808"
16,Vietnam,"98,858,950"
17,Iran,"89,172,767"
18,Turkey,"85,816,199"
19,Germany,"83,294,633"
20,Thailand,"71,801,279"
21,United Kingdom,"67,736,802"
22,Tanzania,"67,438,106"
23,France,"64,756,584"
24,South Africa,"60,414,495"
25,Italy,"58,870,762"
26,Kenya,"55,100,586"
27,Myanmar,"54,577,997"
28,Colombia,"52,085,168"
29,South Korea,"51,784,059"
30,Uganda,"48,582,334"
31,Sudan,"48,109,006"
32,Spain,"47,519,628"
33,Argentina,"45,773,884"
34,Algeria,"45,606,480"
35,Iraq,"45,504,560"
36,Afghanistan,"42,239,854"
37,Poland,"41,026,067"
38,Canada,"38,781,291"
39,Morocco,"37,840,044"
40,Saudi Arabia,"36,947,025"
41,Ukraine,"36,744,634"
42,Angola,"36,684,202"
43,Uzbekistan,"35,163,944"
44,Yemen,"34,449,825"
45,Peru,"34,352,719"
46,Malaysia,"34,308,525"
47,Ghana,"34,121,985"
48,Mozambique,"33,897,354"
49,Nepal,"30,896,590"
50,Madagascar,"30,325,732"
51,Côte d'Ivoire,"28,873,034"
52,Venezuela,"28,838,499"
53,Cameroon,"28,647,293"
54,Niger,"27,202,843"
55,Australia,"26,439,111"
56,North Korea,"26,160,821"
57,Taiwan,"23,923,276"
58,Mali,"23,293,698"
59,Burkina Faso,"23,251,485"
60,Syria,"23,227,014"
61,Sri Lanka,"21,893,579"
62,Malawi,"20,931,751"
63,Zambia,"20,569,737"
64,Romania,"19,892,812"
65,Chile,"19,629,590"
66,Kazakhstan,"19,606,633"
67,Chad,"18,278,568"
68,Ecuador,"18,190,484"
69,Somalia,"18,143,378"
70,Guatemala,"18,092,026"
71,Senegal,"17,763,163"
72,Netherlands,"17,618,299"
73,Cambodia,"16,944,826"
74,Zimbabwe,"16,665,409"
75,Guinea,"14,190,612"
76,Rwanda,"14,094,683"
77,Benin,"13,712,828"
78,Burundi,"13,238,559"
79,Tunisia,"12,458,223"
80,Bolivia,"12,388,571"
81,Haiti,"11,724,763"
82,Belgium,"11,686,140"
83,Jordan,"11,337,052"
84,Dominican Republic,"11,332,972"
85,Cuba,"11,194,449"
86,South Sudan,"11,088,796"
87,Sweden,"10,612,086"
88,Honduras,"10,593,798"
89,Czech Republic (Czechia),"10,495,295"
90,Azerbaijan,"10,412,651"
91,Greece,"10,341,277"
92,Papua New Guinea,"10,329,931"
93,Portugal,"10,247,605"
94,Hungary,"10,156,239"
95,Tajikistan,"10,143,543"
96,United Arab Emirates,"9,516,871"
97,Belarus,"9,498,238"
98,Israel,"9,174,520"
99,Togo,"9,053,799"
100,Austria,"8,958,960"
101,Switzerland,"8,796,669"
102,Sierra Leone,"8,791,092"
103,Laos,"7,633,779"
104,Hong Kong,"7,491,609"
105,Serbia,"7,149,077"
106,Nicaragua,"7,046,310"
107,Libya,"6,888,388"
108,Paraguay,"6,861,524"
109,Kyrgyzstan,"6,735,347"
110,Bulgaria,"6,687,717"
111,Turkmenistan,"6,516,100"
112,El Salvador,"6,364,943"
113,Congo,"6,106,869"
114,Singapore,"6,014,723"
115,Denmark,"5,910,913"
116,Slovakia,"5,795,199"
117,Central African Republic,"5,742,315"
118,Finland,"5,545,475"
119,Norway,"5,474,360"
120,Liberia,"5,418,377"
121,State of Palestine,"5,371,230"
122,Lebanon,"5,353,930"
123,New Zealand,"5,228,100"
124,Costa Rica,"5,212,173"
125,Ireland,"5,056,935"
126,Mauritania,"4,862,989"
127,Oman,"4,644,384"
128,Panama,"4,468,087"
129,Kuwait,"4,310,108"
130,Croatia,"4,008,617"
131,Eritrea,"3,748,901"
132,Georgia,"3,728,282"
133,Mongolia,"3,447,157"
134,Moldova,"3,435,931"
135,Uruguay,"3,423,108"
136,Puerto Rico,"3,260,314"
137,Bosnia and Herzegovina,"3,210,847"
138,Albania,"2,832,439"
139,Jamaica,"2,825,544"
140,Armenia,"2,777,970"
141,Gambia,"2,773,168"
142,Lithuania,"2,718,352"
143,Qatar,"2,716,391"
144,Botswana,"2,675,352"
145,Namibia,"2,604,172"
146,Gabon,"2,436,566"
147,Lesotho,"2,330,318"
148,Guinea-Bissau,"2,150,842"
149,Slovenia,"2,119,675"
150,North Macedonia,"2,085,679"
151,Latvia,"1,830,211"
152,Equatorial Guinea,"1,714,671"
153,Trinidad and Tobago,"1,534,937"
154,Bahrain,"1,485,509"
155,Timor-Leste,"1,360,596"
156,Estonia,"1,322,765"
157,Mauritius,"1,300,557"
158,Cyprus,"1,260,138"
159,Eswatini,"1,210,822"
160,Djibouti,"1,136,455"
161,Réunion,"981,796"
162,Fiji,"936,375"
163,Comoros,"852,075"
164,Guyana,"813,834"
165,Bhutan,"787,424"
166,Solomon Islands,"740,424"
167,Macao,"704,149"
168,Luxembourg,"654,768"
169,Montenegro,"626,485"
170,Suriname,"623,236"
171,Cabo Verde,"598,682"
172,Western Sahara,"587,259"
173,Micronesia,"544,321"
174,Malta,"535,064"
175,Maldives,"521,021"
176,Brunei,"452,524"
177,Bahamas,"412,623"
178,Belize,"410,825"
179,Guadeloupe,"395,839"
180,Iceland,"375,318"
181,Martinique,"366,981"
182,Mayotte,"335,995"
183,Vanuatu,"334,506"
184,French Guiana,"312,155"
185,French Polynesia,"308,872"
186,New Caledonia,"292,991"
187,Barbados,"281,995"
188,Sao Tome & Principe,"231,856"
189,Samoa,"225,681"
190,Curaçao,"192,077"
191,Saint Lucia,"180,251"
192,Guam,"172,952"
193,Kiribati,"133,515"
194,Grenada,"126,183"
195,Tonga,"107,773"
196,Seychelles,"107,660"
197,Aruba,"106,277"
198,St. Vincent & Grenadines,"103,698"
199,U.S. Virgin Islands,"98,750"
200,Antigua and Barbuda,"94,298"
201,Isle of Man,"84,710"
202,Andorra,"80,088"
203,Dominica,"73,040"
204,Cayman Islands,"69,310"
205,Bermuda,"64,069"
206,Greenland,"56,643"
207,Faeroe Islands,"53,270"
208,Northern Mariana Islands,"49,796"
209,Saint Kitts & Nevis,"47,755"
210,Turks and Caicos,"46,062"
211,Sint Maarten,"44,222"
212,American Samoa,"43,914"
213,Marshall Islands,"41,996"
214,Liechtenstein,"39,584"
215,Monaco,"36,297"
216,San Marino,"33,642"
217,Gibraltar,"32,688"
218,Saint Martin,"32,077"
219,British Virgin Islands,"31,538"
220,Caribbean Netherlands,"27,148"
221,Palau,"18,058"
222,Cook Islands,"17,044"
223,Anguilla,"15,899"
224,Nauru,"12,780"
225,Wallis & Futuna,"11,502"
226,Tuvalu,"11,396"
227,Saint Barthelemy,"10,994"
228,Saint Pierre & Miquelon,"5,840"
229,Saint Helena,"5,314"
230,Montserrat,"4,386"
231,Falkland Islands,"3,791"
232,Niue,"1,935"
233,Tokelau,"1,893"
234,Holy See,518
