,Country,Region,Latitude,Longitude
0,Afghanistan,Asia,33.7680065,66.2385139
1,Albania,Europe,41.000028,19.9999619
2,Algeria,Africa,28.0000272,2.9999825
3,Andorra,Europe,42.5407167,1.5732033
4,Angola,Africa,-11.8775768,17.5691241
5,Argentina,America,-34.9964963,-64.9672817
6,Armenia,Asia,40.7696272,44.6736646
7,Australia,Australia,-24.7761086,134.755
8,Austria,Europe,47.522617,14.143702
9,Azerbaijan,Asia,40.3936294,47.7872508
10,Bahrain,Asia,26.1551249,50.5344606
11,Bangladesh,Asia,24.4769288,90.2934413
12,Belarus,Europe,53.4250605,27.6971358
13,Belgium,Europe,50.6402809,4.6667145
14,Belize,America,16.8259793,-88.7600927
15,Benin,Africa,9.5293472,2.2584408
16,Bhutan,Asia,27.549511,90.5119273
17,Bolivia,America,-17.0568696,-64.9912286
18,Bosnia and Herzegovina,Europe,44.3053476,17.5961467
19,Botswana,Africa,-23.1681782,24.5928742
20,Brazil,America,-10.3333333,-53.2
21,Brunei,Asia,4.4137155,114.5653908
22,Bulgaria,Europe,42.6073975,25.4856617
23,Burkina Faso,Africa,12.0753083,-1.6880314
24,Burundi,Africa,-3.426449,29.9324519
25,Cambodia,Asia,12.5433216,104.8144914
26,Cameroon,Africa,4.6125522,13.1535811
27,Canada,America,61.0666922,-107.991707
28,Central African Republic,Africa,7.0323598,19.9981227
29,Chad,Africa,15.6134137,19.0156172
30,Chile,America,-31.7613365,-71.3187697
31,China,Asia,35.000074,104.999927
32,Colombia,America,4.099917,-72.9088133
33,Comoros,Indian,-12.2045176,44.2832964
34,Costa Rica,America,9.536456900000001,-84.17566257468567
35,Croatia,Europe,45.3658443,15.6575209
36,Cuba,America,23.0131338,-80.8328748
37,Cyprus,Asia,34.9823018,33.1451285
38,Denmark,Europe,55.670249,10.3333283
39,Djibouti,Africa,11.8145966,42.8453061
40,Ecuador,America,-1.3397668,-79.3666965
41,Egypt,Africa,26.2540493,29.2675469
42,El Salvador,America,13.8000382,-88.9140683
43,Equatorial Guinea,Africa,1.613172,10.5170357
44,Eritrea,Africa,15.9500319,37.9999668
45,Estonia,Europe,58.7523778,25.3319078
46,Eswatini,Africa,-26.5624806,31.3991317
47,Ethiopia,Africa,10.2116702,38.6521203
48,Fiji,Pacific,-18.1239696,179.0122737
49,Finland,Europe,63.2467777,25.9209164
50,France,Europe,46.603354,1.8883335
51,Gabon,Africa,-0.8999695,11.6899699
52,Gambia,Africa,13.470062,-15.4900464
53,Georgia,Asia,41.6809707,44.0287382
54,Germany,Europe,51.1638175,10.4478313
55,Greece,Europe,38.9953683,21.9877132
56,Guatemala,America,15.5855545,-90.345759
57,Guinea,Africa,10.7226226,-10.7083587
58,Guinea-Bissau,Africa,11.815215,-15.2351044
59,Guyana,America,4.8417097,-58.6416891
60,Honduras,America,15.2572432,-86.0755145
61,Hong Kong,Asia,22.440384,114.098975
62,Hungary,Europe,47.1817585,19.5060937
63,Iceland,Atlantic,64.9841821,-18.1059013
64,India,Asia,22.3511148,78.6677428
65,Indonesia,Asia,-2.4833826,117.8902853
66,Iran,Asia,32.6475314,54.5643516
67,Iraq,Asia,33.0955793,44.1749775
68,Ireland,Europe,52.865196,-7.9794599
69,Israel,Asia,30.8124247,34.8594762
70,Italy,Europe,42.6384261,12.674297
71,Japan,Asia,36.5748441,139.2394179
72,Jordan,Asia,31.1667049,36.941628
73,Kazakhstan,Asia,48.1012954,66.7780818
74,Kenya,Africa,1.4419683,38.4313975
75,Kuwait,Asia,29.2733964,47.4979476
76,Kyrgyzstan,Asia,41.5089324,74.724091
77,Laos,Asia,20.0171109,103.378253
78,Latvia,Europe,56.8406494,24.7537645
79,Lebanon,Asia,33.8750629,35.843409
80,Lesotho,Africa,-29.6039267,28.3350193
81,Liberia,Africa,5.7499721,-9.3658524
82,Libya,Africa,26.8234472,18.1236723
83,Liechtenstein,Europe,47.1416307,9.5531527
