City_ID,Country,Lat,Lng
0,Algeria,28.0,3.0
1,Angola,-12.5,18.5
2,Argentina,-34.0,-64.0
3,Australia,-25.0,135.0
4,Austria,47.3333,13.3333
5,Azerbaijan,40.5,47.5
6,Bahrain,26.0,50.5
7,Bangladesh,24.0,90.0
8,Belgium,43.4997,-87.8504
9,Benin,9.5,2.25
10,Botswana,-22.0,24.0
11,Brazil,39.5237,-87.125
12,Bulgaria,43.0,25.0
13,Burkina Faso,13.0,-2.0
14,Burundi,-3.5,30.0
15,Cambodia,13.0,105.0
16,Cameroon,6.0,12.0
17,Canada,38.6767,-0.8141
18,Chile,-30.0,-71.0
19,China,25.7,-99.2333
20,Colombia,20.9881,-77.4297
21,Costa Rica,-23.4167,-54.65
22,Côte d'Ivoire,8.0,-5.0
23,Croatia,45.1667,15.5
24,Cuba,22.0,-79.5
25,Czech Republic,49.75,15.0
26,Denmark,33.3227,-81.1423
27,Dominican Republic,19.0,-70.6667
28,Ecuador,-2.0,-77.5
29,Egypt,40.6801,-75.5299
30,El Salvador,13.8333,-88.9167
31,Estonia,59.0,26.0
32,Ethiopia,8.0,38.0
33,Finland,64.0,26.0
34,France,5.2038,-3.7396
35,Gabon,-1.0,11.75
36,Germany,51.5,10.5
37,Ghana,8.0,-2.0
38,Greece,43.2098,-77.6931
39,Guatemala,14.6407,-90.5133
40,Guinea,11.0,-10.0
41,Honduras,15.0,-86.5
42,Hong Kong,22.2855,114.1577
43,Hungary,47.0,20.0
44,India,46.7406,12.2797
45,Indonesia,-5.0,120.0
46,Iran,32.0,53.0
47,Ireland,53.0,-8.0
48,Israel,31.5,34.75
49,Italy,32.184,-96.8847
50,Jamaica,22.9792,-82.1703
51,Japan,35.6854,139.7531
52,Jordan,31.0,36.0
53,Kazakhstan,48.0,68.0
54,Kenya,1.0,38.0
55,Kuwait,29.3697,47.9783
56,Laos,18.0,105.0
57,Latvia,57.0,25.0
58,Lebanon,36.2081,-86.2911
59,Liberia,6.5,-9.5
60,Lithuania,56.0,24.0
61,Madagascar,-20.0,47.0
62,Malawi,-13.5,34.0
63,Malaysia,2.5,112.5
64,Mali,12.079,-12.2982
65,Mexico,15.0646,120.7198
66,Mongolia,46.0,105.0
67,Morocco,40.9462,-87.4534
68,Mozambique,-18.25,35.0
69,Myanmar,22.0,98.0
70,Namibia,-22.0,17.0
71,Nepal,28.0,84.0
72,Netherlands,52.5,5.75
73,New Zealand,-42.0,174.0
74,Nicaragua,13.0,-85.0
75,Niger,16.0,8.0
76,Nigeria,10.0,8.0
77,Oman,21.0,57.0
78,Pakistan,30.0,70.0
79,Panama,9.0,-80.0
80,Papua New Guinea,-6.0,147.0
81,Paraguay,-22.9933,-57.9964
82,Peru,40.7537,-86.0689
83,Philippines,13.0,122.0
84,Poland,44.0606,-70.3937
85,Portugal,39.5,-8.0
86,Qatar,25.5,51.25
87,Romania,46.0,25.0
88,Russia,60.0,100.0
89,Rwanda,-2.0,30.0
90,Saudi Arabia,25.0,45.0
91,Senegal,14.0,-14.0
92,Sierra Leone,8.5,-11.5
93,Singapore,1.2897,103.8501
94,Slovakia,48.6667,19.5
95,Spain,40.0,-4.0
96,Sri Lanka,7.0,81.0
97,Sudan,16.0,30.0
98,Sweden,62.0,15.0
99,Switzerland,47.0002,8.0143
100,Taiwan,24.0,121.0
101,Tanzania,-6.0,35.0
102,Thailand,15.0,100.0
103,Trinidad & Tobago,21.8019,-79.9842
104,Tunisia,34.0,9.0
105,Turkey,39.059,34.9115
106,Uganda,2.0,33.0
107,Ukraine,49.0,32.0
108,United Kingdom,54.7584,-2.6953
109,United States,39.76,-98.5
110,Uruguay,-33.0,-56.0
111,Uzbekistan,41.7075,63.8491
112,Venezuela,8.0,-66.0
113,Vietnam,16.1667,107.8333
114,Zambia,-15.0,30.0
115,Zimbabwe,-19.0,29.0
