Country,Edition,1.1.1) Internet users,1.1.2) Fixed-line broadband subscribers,1.1.3) Mobile subscribers,1.3.1) Network coverage (min. 2G),1.3.2) Network coverage (min. 3G),1.3.3) Network coverage (min. 4G),2.1.2) Mobile phone cost (prepaid tariff),2.1.3) Mobile phone cost (postpaid tariff),2.1.4) Fixed-line monthly broadband cost,BG2) Population
Algeria,2017,31.9,5.71,108.8,99.19,46,0,5.501,4.914,3.82,40.6
Algeria,2018,47.3,7.05,116,98,83.36,3.62,5.501,2.007,4.01,41.3
Algeria,2019,54.2,7.76,110.8,98,90,30.49,2.038,2.207,4.41,42.1
Algeria,2020,74.4,7.26,111.7,98.04,97.45,52.84,1.981,2.207,4.41,42.9
Algeria,2021,74.4,8.32,109.4,98.04,97.72,53.63,2.379,2.207,4.41,43.7
Angola,2017,14.7,0.55,49.8,99,60.67,7,6.67,39.803,10.83,28.8
Angola,2018,11.3,0.29,45.1,90,62,8,6.67,6.807,9.52,29.8
Angola,2019,11.3,0.33,44.7,90,85,8,4.699,7.861,14.26,30.8
Angola,2020,11.3,0.36,43.1,90,85,8,2.172,7.861,14.26,31.8
Angola,2021,11.3,0.37,46.6,90,72,18,1.568,7.861,14.26,32.9
Argentina,2017,62,15.92,143.6,98,90,65,1.58,1.551,3.93,43.5
Argentina,2018,71.8,16.67,146.5,98,95,85,0.78,0.998,3.33,43.9
Argentina,2019,75.9,17.85,140.9,98,95,85,1.118,0.828,3.59,44.4
Argentina,2020,75.9,19.1,132.1,98,95,90.76,0.663,0.828,3.59,44.8
Argentina,2021,75.9,19.64,125.8,98,95,91.18,0.482,0.828,3.59,45.2
Australia,2017,85.9,28.53,107.7,99,99,94,0.505,0.373,0.74,24.3
Australia,2018,86.1,30.39,109.4,99.3,99.3,98,0.505,0.247,1.24,24.6
Australia,2019,86.1,32.22,108.4,99.4,99.4,99,0.505,0.267,1.25,24.9
Australia,2020,86.1,33.85,111,99.4,99.4,99.2,0.505,0.267,1.25,25.2
Australia,2021,86.1,34.73,110.6,99.5,99.5,99.4,0.543,0.267,1.25,25.5
Austria,2017,82.4,28.29,155.2,99,98,98,0.16,0.158,0.59,8.6
Austria,2018,85.1,28.85,126.7,99,98,98,0.16,0.144,0.61,8.6
Austria,2019,88.8,28.47,123.1,99,98,98,0.16,0.15,0.84,8.6
