,Country,RoC (%) Broadband,RoC (%) Mobile,Rural electricity access (%)
Algeria,Algeria,10.43,0.22,97.61
Angola,Angola,-5.40,-1.45,5.92
Argentina,Argentina,5.41,-3.21,85.19
Australia,Australia,5.05,0.68,100.00
Austria,Austria,-0.14,-5.97,100.00
Azerbaijan,Azerbaijan,-0.44,-0.91,100.00
Bahrain,Bahrain,-15.82,-9.79,100.00
Bangladesh,Bangladesh,12.85,4.87,73.65
Belgium,Belgium,2.17,-3.04,100.00
Benin,Benin,-16.49,0.05,9.71
Botswana,Botswana,13.01,-0.03,29.70
Brazil,Brazil,5.79,-6.64,98.41
Bulgaria,Bulgaria,6.44,-2.32,100.00
Burkina Faso,Burkina Faso,7.02,5.94,1.60
Burundi,Burundi,2.08,3.59,4.31
Cambodia,Cambodia,20.34,-0.60,57.52
Cameroon,Cameroon,397.72,1.87,26.50
Canada,Canada,2.92,2.71,100.00
Chile,Chile,4.57,0.68,100.00
China,China,12.54,7.35,100.00
Colombia,Colombia,4.39,2.23,85.68
Congo (DRC),Congo (DRC),0.00,-1.38,0.50
Costa Rica,Costa Rica,11.72,2.33,96.99
Croatia,Côte d'Ivoire,4.67,0.56,100.00
Cuba,Croatia,122.88,15.96,99.02
Czech Republic,Cuba,6.06,1.07,100.00
Côte d'Ivoire,Czech Republic,15.93,7.41,36.38
Denmark,Denmark,0.98,0.23,100.00
Dominican Republic,Dominican Republic,7.37,-0.67,92.38
Ecuador,Ecuador,7.02,3.43,93.57
Egypt,Egypt,16.37,-1.53,99.71
El Salvador,El Salvador,8.40,-0.10,91.31
Estonia,Estonia,2.37,0.43,100.00
Ethiopia,Ethiopia,-18.50,-1.77,33.12
Finland,Finland,0.74,-1.07,100.00
France,France,2.33,1.67,100.00
Gabon,Gabon,23.26,-0.97,37.06
Germany,Germany,2.83,2.25,100.00
Ghana,Ghana,-5.62,1.86,71.75
Greece,Greece,5.27,-0.91,100.00
Guatemala,Guatemala,2.68,1.63,86.63
Guinea,Guinea,0.00,1.72,9.47
Honduras,Honduras,17.65,-3.07,67.36
Hong Kong,Hong Kong,3.75,5.53,100.00
Hungary,Hungary,4.33,1.17,100.00
India,India,2.22,2.63,86.95
